,category,headline,authors,link,short_description,date
3260,CRIME,Florida Bestiality Law: Oral Sex Loophole May Only Cover Some Forms Of Contact,Hilary Hanson,https://www.huffingtonpost.com/entry/florida-bestiality-law-oral-sex-loophole_us_5ba2ba8be4b0c2784da5218e,One man's unique case may have uncovered a loophole in Florida law that allows for certain forms of oral sex between humans,2012-06-23
3261,CRIME,Judge Orders Release Of 'Making A Murderer' Subject Brendan Dassey,Jenna Amatulli,https://www.huffingtonpost.com/entry/brendan-dassey-prison-release-making-a-murderer_us_582a1bd7e4b02d21bbca11d8,The judge had earlier tossed out Dassey's confession.,2016-11-14
3262,POLITICS,Diesel Pollution Is Affecting Dozens of Communities. Will The EPA Act?,Robert Baldwin III,https://www.huffingtonpost.com/entry/diesel-polluiton-epa_us_570820b1e4b0885fb50d2a25,Emissions from freight facilities disproportionately affect blacks and Latinos.,2016-04-08
3263,POLITICS,"It's Inauguration Day And, Yes, I Am Watching","Caitlin Antonides, ContributorContributing Writer",https://www.huffingtonpost.com/entry/its-inauguration-day-and-yes-i-am-watching_us_587b1a97e4b077a19d180e73,"I wasn’t going to watch it ― the swearing in. And for my political science-loving heart, that’s saying a lot. For nearly",2017-01-15
3264,POLITICS,"Don't 'Expose' Marco Rubio To Talk With Gun Control Advocate, Senior Aide Tells Staff",Jennifer Bendery,https://www.huffingtonpost.com/entry/marco-rubio-gun-violence-mark-kelly_us_576d7977e4b0f1683239772b,It's less than two weeks since a mass shooting in his home state.,2016-06-24
3265,POLITICS,Monday's Morning Email: Trump Wants To Cut Russia Sanctions In Return For Nuclear Arms Deal,Lauren Weber,https://www.huffingtonpost.com/entry/mondays-morning-email-trump-wants-to-cut-russia-sanctions-in-return-for-nuclear-arms-deal_us_587cc20be4b0b3c7a7b205c5,"And he called NATO ""obsolete.""",2017-01-16
3266,POLITICS,House Science Committee Flouts Ethics Rules By Promoting RNC Press Release As News,Alexander C. Kaufman,https://www.huffingtonpost.com/entry/house-science-committee-flouts-ethics-rules-by-promoting-rnc-press-release-as-news_us_594c26a4e4b0da2c731a67d1,It's the latest dubious source pushed by an increasingly political committee.,2017-06-22
3267,CRIME,McDonald's Employee Knocks Rowdy Customer Unconscious On Camera,Joe Satran,https://www.huffingtonpost.com/entry/mcdonalds-employee-punch_n_7165292.html,,2015-04-29
3268,CRIME,Survey: Results Suggest Neither Acquittal Nor Death Likely in Jodi Arias Murder Trial,"Tanya Young Williams, Contributor
Crisis Management Expert, University Lecturer, On-Air Legal An...",https://www.huffingtonpost.com/entry/post_us_5ba2bde4e4b0c2784da558a1,"My goal was to attract 1000 respondents to establish a credible level of confidence in the accuracy of the results. However, after one day of people sharing the links via social media and the Huffpost article, the numbers began to swell at a rate of 100 respondents per hour.",2013-03-30
3269,POLITICS,Trump Tells Mayor Of Sinking U.S. Island Not To Worry About Climate Change,Chris D'Angelo,https://www.huffingtonpost.com/entry/trump-tangier-island-mayor-climate-change_us_59406a8ce4b09ad4fbe3fa03,Scientists predict rising seas will soon swamp Virginia's Tangier Island. The president doesn't seem to believe it.,2017-06-14
3270,POLITICS,Ben Carson Wants An Apology From CNN,Samantha-Jo Roth,https://www.huffingtonpost.com/entry/ben-carson-apology-cnn_us_56b7525de4b08069c7a79878,He's still not over the Iowa caucuses.,
3271,CRIME,Cop In Ferguson Suspended For Video Of Bigoted Views,Michael McLaughlin,https://www.huffingtonpost.com/entry/dan-page-st-louis-police-officer_n_5702000.html,,2014-08-23
3272,POLITICS,Tired Of All The Whining,"Chris Weigant, ContributorChris Weigant is a political commentator.",https://www.huffingtonpost.com/entry/tired-of-all-the-whining_us_599e1ae9e4b0cb7715bfd329,Maybe we all just misheard him. Maybe it was his outer-borough accent. Maybe what candidate Donald Trump really said was,2017-08-24
3273,POLITICS,Playing the Trump Card,"Randall Amster, ContributorAuthor and Educator",https://www.huffingtonpost.com/entry/playing-the-trump-card_b_8790894.html,"As is often the case when engaging in a game of cards, when one runs out of the relevant suit, it's time to shake things up by playing the trump card. Of course, card playing is a game, and animosity positioning itself as policy is not.",2015-12-12
3274,POLITICS,Iran Decries Supreme Court Ruling In Favor Of Terror Victims As 'Theft',Cristian Farias,https://www.huffingtonpost.com/entry/iran-supreme-court-terror-ruling_us_571a66f5e4b0d912d5fe8054,"The U.S. says that the decision bears ""no relation"" to the future of the nuclear agreement with the Islamic republic.",2016-04-22
3275,POLITICS,Congress Holds Hearings On Online Political Ads,"OpenSecrets Blog, ContributorPublished by the nonpartisan Center for Responsive Politics an...",https://www.huffingtonpost.com/entry/congress-holds-hearings-on-online-political-ads_us_59f8d71fe4b0b7f0915f6273,Members of both legislative bodies are advocating for bills requiring more transparency in internet advertisement.,2017-10-31
3276,POLITICS,Bernie Sanders' Personal Plea To Delegates: Don’t Protest On Convention Floor,Chris D'Angelo,https://www.huffingtonpost.com/entry/bernie-sanders-delegates_us_579687cbe4b02d5d5ed299eb,"""That’s what Donald Trump wants,"" the Vermont senator told supporters.",2016-07-25
3277,POLITICS,Gardner Links 'Coffins' And 'Grim Reaper' At His Office With Shooting Of Congressman,"Jason Salzman, ContributorFormer Media Critic, Rocky Mountain News",https://www.huffingtonpost.com/entry/gardner-links-coffins-and-grim-reaper-at-his-office_us_59442201e4b0940f84fe2e1b,"In an appearance on conservative radio Thursday, Colorado Sen. Cory Gardner pointed to props and costumed-protesters at his",2017-06-19
3278,POLITICS,Know When to Fold Them: Rethinking America's Strategy in Iraq,"Joseph V. Micallef, ContributorBest Selling Military History and World Affairs Author and Key...",https://www.huffingtonpost.com/entry/know-when-to-fold-them-rehinking-americas-strategy-in-iraq_b_6872526.html,"At the risk of oversimplification, sometimes we just need to focus on the overriding big picture rather than all of the extenuating circumstances. In this case the big picture is clear. Containing Iran's agenda of political Shiism is just as crucial as containing Salafist jihadist violence.",2015-03-15
3279,CRIME,"Ex-NFL Player Antonio Armstrong And Wife Killed, Police Arrest Son",Steven Hoffer,https://www.huffingtonpost.com/entry/antonio-armstrong-shooting_us_579cefd6e4b08a8e8b5e5205,The 16-year-old is charged with capital murder over the shooting.,2016-07-30
3280,POLITICS,Taipei's Sustainable Urban Design,"China Hands, ContributorFor Future Leaders in US-China Relations",https://www.huffingtonpost.com/entry/taipeis-sustainable-urban_b_7250430.html,"Michelle Peters discusses how Taipei's riverside park bike path system maintains outdoor green space and a symbiotic relationship with the natural environment, even in the midst of urban expansion.",2015-05-10
3281,POLITICS,Ted Cruz Rises Above Donald Trump In NBC/WSJ National Poll,Janie Velencia,https://www.huffingtonpost.com/entry/ted-cruz-leads-national-poll_us_56c4db0ce4b0b40245c8d122,The results mark a dramatic shift -- or a dramatic outlier.,2016-02-17
3282,POLITICS,"DNC Succumbs To Pressure, Agrees To Hold More Presidential Debates",Marina Fang,https://www.huffingtonpost.com/entry/more-democratic-debates_us_56ae6096e4b077d4fe8e8617,"Thursday's debate in New Hampshire will go forward, with more debates to come.",2016-01-31
3283,CRIME,Woman Killed By Stone That Fell From Church Gargoyle,Kim Bellware,https://www.huffingtonpost.com/entry/chicago-woman-killed-falling-stone_n_5768496.html,,2014-09-04
3284,POLITICS,"Improve Relations With Russia -- It Poses Little Military Threat To The US And Europe, Despite Election Meddling","Doug Bandow, ContributorContributing writer, policy analyst, one who tilts at windmills",https://www.huffingtonpost.com/entry/improve-relations-with-russia-it-poses-little-military_us_59765ed4e4b01cf1c4bb72ab,Washington must deal with Russia despite the latter’s misbehavior.,2017-07-24
3285,POLITICS,Bristol Palin Engaged To Medal Of Honor Recipient,Igor Bobic,https://www.huffingtonpost.com/entry/bristol-palin-dakota-meyer-engaged_n_6870336.html,,2015-03-14
3286,POLITICS,Why Nixon Deserves To Live In Infamy,,https://www.huffingtonpost.com/entry/why-nixon-deserves-to-liv_n_5645872.html,,2014-08-03
3287,CRIME,Two Victims Shot On Texas Southern University Campus,Willa Frej,https://www.huffingtonpost.com/entry/texas-southern-university-shooting_us_5618215ae4b0dbb8000ea425,This is the second shooting at TSU this week.,2015-10-09
3288,POLITICS,Senate Republicans Grapple With How To Answer The Roy Moore Question,Matt Fuller,https://www.huffingtonpost.com/entry/senate-republicans-roy-moore_us_5a0a5a89e4b00a6eece3c489,It's more complicated than just saying you don't support the Alabama nominee.,2017-11-14
3289,POLITICS,Barack Obama Pays Tribute To Joe Biden: 'I Gained A Brother' By Picking Him As VP,Elise Foley,https://www.huffingtonpost.com/entry/obama-joe-biden_us_58759e06e4b092a6cae3d73a,Aw.,2017-01-11
3290,CRIME,Drunk Man Incites Panic After Jumping On Bar And Praising Allah: Police,Nina Golgowski,https://www.huffingtonpost.com/entry/man-praising-allah-incites-panic_us_577bcb96e4b041646410a653,Authorities say there is no threat to the man's Idaho community.,2016-07-05
3291,POLITICS,Former Top Intelligence Chiefs: Trump Being 'Played' By Putin,Marina Fang,https://www.huffingtonpost.com/entry/trump-putin-russian-interference_us_5a0861e9e4b0e37d2f37ffb3,"“I think Mr. Putin is very clever in terms of playing to Mr. Trump’s interest in being flattered,” former CIA Director John Brennan said",2017-11-12
3292,CRIME,Police Investigate Reports Of Las Vegas Gunman Booking Hotels Near Other Concerts,Jenna Amatulli,https://www.huffingtonpost.com/entry/police-investigate-reports-of-vegas-gunman-booking-hotels-during-other-concerts_us_59d634aae4b0cde458734acc,Stephen Paddock's motive for the Route 91 Harvest Festival massacre is still unknown.,2017-10-05
3293,POLITICS,Obama On Kalamazoo: 'We Need To Do More' To Fight Gun Violence,Mollie Reilly,https://www.huffingtonpost.com/entry/obama-kalamazoo-shootings_us_56cb3d7fe4b0928f5a6c84f1,A gunman killed six people during a shooting rampage on Saturday.,2016-02-22
3294,CRIME,Bodies Of Missing California Veteran And Dog Believed Found; Ex-Husband Under Arrest,Mary Papenfuss,https://www.huffingtonpost.com/entry/vertan-dog-foundin-grave_us_5a237c8ee4b0a02abe91ab7a,Retired Army Capt. Julia Jacobson and Boogie disappeared 3 months ago.,2017-12-03
3295,POLITICS,Alabama Students Will Finally Learn About Evolution -- But Might Still Get This Giant Disclaimer,Ruby Mellen,https://www.huffingtonpost.com/entry/alabama-climate-change-textbooks_us_55fc3de3e4b00310edf6ce89,"According to the state, the fact that dinosaurs evolved into birds ""has never been observed and should be considered a theory."" OK.",2015-09-18
3296,POLITICS,Pope Francis To Give Historic Address To Congress,"ERICA WERNER and NICOLE WINFIELD, AP",https://www.huffingtonpost.com/entry/pope-visits-congress_us_5603bffce4b0fde8b0d14e3d,"The pontiff arrives at a moment of particular turmoil, with a partial government shutdown looming next week.",2015-09-24
3297,POLITICS,Why I Support President Obama,"Robert David Jaffee, ContributorAuthor, journalist and mental health activist",https://www.huffingtonpost.com/entry/why-i-support-president-o_b_5644491.html,"My view may not have been so different from that of Maureen Dowd, who once wrote that President Obama had to look deep into his soul to determine who he was.  In her view, he emerged with the realization that he was Barry, president of the Harvard Law Review.",2014-08-02
3298,CRIME,"Savannah, Georgia Warehouse Fire Burns 5,600 Tons Of Rubber","Reuters, Reuters",https://www.huffingtonpost.com/entry/savannah-georgia-fire-warehouse_us_5ba2b422e4b0c2784da4adbd,"Smoke drifted toward downtown Savannah and its historic areas, prompting an advisory to tourists and residents to stay indoors",2014-02-09
3299,,WATCH: Sidewalk Hero Trips Suspect So Cops Can Nab Him,Ron Dicker,https://www.huffingtonpost.com/entry/watch-sidewalk-hero-trips-suspect-so-cops-can-nab-him_us_56b8b27fe4b04f9b57da4d1a,He makes sure accused dealer is the fall guy.,2016-02-08
3300,CRIME,"Leonel Contreras Guilty: California Teen Convicted Of Raping, Kidnapping Girls",,https://www.huffingtonpost.com/entry/leonel-contreras-guilty_us_5ba2a8d3e4b0c2784da3eb19,"Leonel Contreras was tried as an adult and will be sentenced Dec. 5, according to KFMB. Rodriguez's lawyer, Dana Feuling",2012-11-04
3301,POLITICS,Kanye West Is Building Up A Republican Fan Base,Ariel Edwards-Levy,https://www.huffingtonpost.com/entry/kanye-west-republican-fans-poll_us_5aea1dd2e4b022f71a04a8f8,"Most in the GOP still say celebrities shouldn't weigh in on politics, a new poll finds.",2018-05-02
3302,POLITICS,Elizabeth Warren Blasts Donald Trump For Not 'Draining The Swamp',Lee Moran,https://www.huffingtonpost.com/entry/elizabeth-warren-donald-trump-wall-street_us_589d92d3e4b0ab2d2b1410c4,"""It's like the most impressive 180-degree switch that you've ever seen.""",2017-02-10
3303,CRIME,Bystander Opens Fire On Suspected Home Depot Shoplifters,Ryan Grenoble,https://www.huffingtonpost.com/entry/bystander-shoots-home-depot-shoplifter-detroit_us_56154391e4b021e856d3128e,"It's unclear if the woman, who had a concealed carry permit, will be charged.",2015-10-07
3304,CRIME,Sharp-Eyed California Bus Driver Saves Boy Kidnapped From Library,Katie Sola,https://www.huffingtonpost.com/entry/bus-driver-kidnapping_n_7525136.html,,2015-06-06
3305,CRIME,Plainclothes New York City Police Detectives Shoot And Kill Suspected Robber In Manhattan,Andrew Hart,https://www.huffingtonpost.com/entry/new-york-detectives-shoot-robber_n_7144614.html,,2015-04-26
3306,POLITICS,"Potential Secretary Of State Pick Cozies Up To Russia, Says 'We Don't Need China'",Nick Visser,https://www.huffingtonpost.com/entry/dana-rohrabacher-russia_us_5848f9ffe4b0d0aa037f46d2,China is the world’s second largest economy and a prime trading partner.,2016-12-08
3307,POLITICS,The Supreme Court Extremism Of Clarence Thomas And Chuck Grassley,,https://www.huffingtonpost.comhttp://www.newyorker.com/news/daily-comment/the-supreme-court-extremism-of-clarence-thomas-and-chuck-grassley,"There’s been so much dramatic news about the Supreme Court in recent days that it’s easy to miss some of it. Indeed, the",2016-04-08
3308,POLITICS,Why I’m Moving Back to Ohio to Help Unseat My Congressman,"Zachary Stepp , ContributorDeputy Campaign Manager, Janet Garrett for Congress",https://www.huffingtonpost.com/entry/why-im-moving-back-to-ohio-to-help-unseat-my-congressman_us_5a36c042e4b0e7f1200cfc28,"Elections matter. Next year’s election will shape the course of history. The United States, once a beacon of hope and freedom",2017-12-17
3309,POLITICS,Obama: Minnie Minoso Had A 'Quintessentially American Story',Sam Levine,https://www.huffingtonpost.com/entry/obama-minnie-minoso_n_6779536.html,,2015-03-01
3310,POLITICS,The Unconservatism of Micromanaging the Poor,"Greg Weiner, ContributorAuthor, 'American Burke: The Uncommon Liberalism of Daniel Pat...",https://www.huffingtonpost.com/entry/the-unconservatism-of-micromanaging-the-poor_b_7004262.html,"Of course, all subsidies, including charitable ones, are liable to abuse. That is not, of itself, a reason not to give them. Crucially, on conservative premises, that is also not a reason to attempt to eliminate all exploitation.",2015-04-05
3311,POLITICS,Trump’s Racist Comments May Actually Help Some Immigrants Stay In The U.S.,Roque Planas,https://www.huffingtonpost.com/entry/trump-shithole-help-immigrants-stay_us_5a5d6ec3e4b03c4189684844,Lawyers fighting the president’s policies in court love it when he speaks off the cuff.,2018-01-16
3312,CRIME,Judge Weighs Bid To Dismiss Child Sex Abuse Claim Against Cosby,,https://www.huffingtonpost.com/entry/bill-cosby-judge-weighs-dismissal-child-sex-abuse_us_570f8056e4b0ffa5937e407b,Cosby lost a previous bid to fend off the same lawsuit on similar grounds last year.,2016-04-14
3313,POLITICS,Time To Fire Him,,https://www.huffingtonpost.comhttp://www.economist.com/news/leaders/21693579-donald-trump-unfit-lead-great-political-party-time-fire-him,Donald Trump is unfit to lead a great political party,2016-02-26
3314,POLITICS,Crist Woos Crucial Voters In Race Against Rick Scott,,https://www.huffingtonpost.com/entry/charlie-crist-rick-scott_n_5633295.html,,2014-07-30
3315,POLITICS,Watch Donald Trump Praise Hillary And Bill Clinton To The Heavens In Uncovered Tape,Ron Dicker,https://www.huffingtonpost.com/entry/watch-donald-trump-shower-love-and-praise-on-hillary-and-bill-clinton_us_580885fbe4b0dd54ce383a3f,He hails her as a “great woman” in the 2008 interview.,2016-10-20
3316,POLITICS,"Bigger Food Stamp Benefits Wouldn't Be Wasted On Junk Food, Study Says",Arthur Delaney,https://www.huffingtonpost.com/entry/food-stamps-diet_us_576048fbe4b0e4fe5143e6f1,"Benefits won't be getting more generous anytime soon, however.",2016-06-14
3317,POLITICS,Tamir Rice's Neighborhood: A Short Drive But Far Removed From Trump's RNC,Ryan J. Reilly,https://www.huffingtonpost.com/entry/tamir-rice-neighborhood-donald-trump-rnc_us_5790ff5ce4b0fc06ec5c0ee5,Donald Trump's message of safety leaves out people in the 12-year-old's community.,2016-07-23
3318,POLITICS,House GOP's Blueprint To Gut Ethics Office Looks Like It Was Copied From Azerbaijan Scandal,Laura Barrón-López,https://www.huffingtonpost.com/entry/office-of-congressional-ethics-azerbaijan-investigation_us_586d8f22e4b0c4be0af2e08a,Republicans tried to eliminate the very tools used to catch lawmakers on a shady trip.,2017-01-05
3319,POLITICS,"Babbling, Eloquence And Silence","Barbara Boxer, ContributorFormer U.S. Senator; Founder, PAC for a Change",https://www.huffingtonpost.com/entry/babbling-eloquence-and-silence_us_59f9de47e4b046017fb0504a,"Can You Believe? Can you believe Trump is still arguing with LaDavid Johnson’s widow, Myeshia? Or that he’d actually say",2017-11-01
3320,POLITICS,HP Inc. Joins Companies Declining To Contribute To G.O.P. Convention,,https://www.huffingtonpost.comhttp://www.nytimes.com/2016/06/01/us/politics/hewlett-packard-republican-convention-trump.html,Hewlett Packard Inc. has joined a growing list of major corporations that are declining to help pay for the Republican National,2016-05-31
3321,CRIME,Study Ties California Gun Violence Increases To Nevada Gun Shows,"Dan Whitcomb, Reuters",https://www.huffingtonpost.com/entry/las-vegas-gun-shows-shooting-california-study_us_59eebd49e4b0d14acdcc232e,The University of California study indicates gun-related deaths and injuries increased 70 percent in neighboring areas after such events.,2017-10-24
3322,POLITICS,Hillary Clinton Dominates With Nonwhite Voters On Super Tuesday,Elise Foley,https://www.huffingtonpost.com/entry/clinton-sanders-minority-voters_us_56d6f8e3e4b0bf0dab33f4f9,Check out the results for yourself.,2016-03-02
3323,POLITICS,Dear College-Educated White Women: Surprise! You Are Oppressed,"Lauren Suchman, ContributorResearcher focusing on gender, health, and inequality.",https://www.huffingtonpost.com/entry/dear-college-educated-white-women-surprise-you-are_us_582a0ddfe4b02b1f5257a73a,"Last week, Donald Trump won the electoral (but not popular!) vote to become our country’s 45th president. Even after The",2016-11-14
3324,CRIME,To Those of You on Hunger Strike,"Hector VIllagra, Contributor
Executive Director, ACLU of Southern California",https://www.huffingtonpost.com/entry/california-prison-hunger-strike_us_5ba2c6b9e4b0c2784da6241b,"For five days, 29,000 inmates in California's state prisons have refused all meals in the largest hunger strike and prison protest in state history. Your actions speak loudly. We can hear you. We know things must change.",2013-07-13
3325,POLITICS,Are Turkey's Days of Freedom Already Numbered?,"John A. Tures, ContributorPolitical science professor, LaGrange College in Georgia",https://www.huffingtonpost.com/entry/are-turkeys-days-of-freed_b_7527098.html,"Daniel Pipes, the President of the Middle East Forum and a Fox News commentator, critiqued my Huffington Post article for saying Turkey was having their biggest election in their country's history. In some ways, I think he might be on to something",2015-06-06
3326,CRIME,Police Hunt For Man Traveling The Midwest And Stealing Rogaine,Lee Moran,https://www.huffingtonpost.com/entry/rogaine-thefts-bald-suspect_us_56d02ed7e4b0bf0dab31aa86,"The suspect, who is bald, reportedly has taken thousands of dollars of the hair-growth formula from multiple stores.",2016-02-26
3327,POLITICS,Gov. 'Moonbeam' Brown's Office Uses Trump's Own Words To Defend Pardons,Mary Papenfuss,https://www.huffingtonpost.com/entry/brown-claps-back-at-trump-over-second-chances_us_5ac047fae4b055e50ace36ed,Trump touted second chances for former prisoners the day before he blasted California Gov. Jerry Brown for giving ex-convicts a ... second chance.,2018-04-01
3328,POLITICS,A Personal Memory of Former Governor Mario Cuomo,"Angela Vitaliano, ContributorItalian journalist for Espresso.it, Il Fatto Quotidiano and Wi...",https://www.huffingtonpost.com/entry/a-personal-memory-of-form_b_6407020.html,"We lost a great man, a giant in the history of the city, of the State and of the country, the country he loved and wanted to make better, fighting one of its most horrible practices: death penalty. And, as an Italian in New York, I feel we lost one of those ""Italians"" who make me very proud.",2015-01-02
3329,CRIME,Judge Blocks Attempt To Halt Deposition Of Bill Cosby's Wife,,https://www.huffingtonpost.com/entry/camille-cosby-deposition_us_56cabc9ce4b0ec6725e3145d,The defamation case was brought by seven women against the disgraced entertainer.,2016-02-22
3330,CRIME,Southwest Airlines Flight Diverted Over 'Suspicious Behavior',,https://www.huffingtonpost.com/entry/southwest-airlines-flight-diverted-over-suspicious-behavior_us_56523509e4b0258edb31e669,"Several passengers were ""unruly,"" an FBI spokesperson said.",2015-11-22
3331,POLITICS,Mooney Beats Casey,Paige Lavender,https://www.huffingtonpost.com/entry/alex-mooney-midterm-election-results_n_5831106.html,,2014-11-05
3332,POLITICS,George W. Bush Will Hit The Campaign Trail For Jeb,"Steve Holland, Reuters",https://www.huffingtonpost.com/entry/george-w-bush-jeb-bush_us_56bced4fe4b0b40245c5cf5b,He's back!,2016-02-11
3333,CRIME,Mortician Who Inspired 'Bernie' Movie Sent Back To Prison For Widow's Murder,"Marise Richter, Reuters",https://www.huffingtonpost.com/entry/bernie-tiede-back-in-prison_us_571b8514e4b0d4d3f7238b84,He's been re-sentenced in the 1999 murder of 81-year-old Marjorie Nugent.,2016-04-23
3334,CRIME,Graphic Police Dash Cam Video Shows Fatal Shooting Of Unarmed Man,David Lohr,https://www.huffingtonpost.com/entry/police-dash-cam-shooting-gardena_us_55a6ae5ee4b04740a3debe4b,National outcry over police shootings brings old footage to light,2015-07-15
3335,POLITICS,Trey Gowdy Alleges Gaps In Clinton Emails,Arthur Delaney,https://www.huffingtonpost.com/entry/hillary-clinton-email_n_6826536.html,,2015-03-08
3336,POLITICS,White Supremacists Neglect Their Own Presidential Candidate To Back Donald Trump,Christina Wilkie and Dana Liebelson,https://www.huffingtonpost.com/entry/white-supremacists-trump_us_56d9fb11e4b0000de404a652,"""I realized that I like what he's saying,"" the American Freedom Party chairman said.",2016-03-05
3337,CRIME,Prospects Improve For Pit Bull Whose Mouth Was Taped Shut,Arin Greenwood,https://www.huffingtonpost.com/entry/pit-bull-electrical-tape_n_7462872.html,,2015-05-30
3338,POLITICS,A Free-Market Failure In The Heartland,"Randi Weingarten, ContributorPresident, American Federation of Teachers",https://www.huffingtonpost.com/entry/a-free-market-failure-in-the-heartland_us_5945b828e4b0d188d027ff29,Trickle down economics didn’t work in Kansas. It never has. Not anywhere.,2017-06-18
3339,CRIME,Man Loses Fingers In Musket Misfire,,https://www.huffingtonpost.com/entry/man-loses-fingers-in-musket-misfire_us_55ba23f9e4b095423d0deab1,He put too much gunpowder in the weapon.,2015-07-30
3340,POLITICS,Tillerson Used Email Alias At Exxon To Talk Climate Change,,https://www.huffingtonpost.com/entry/tillerson-exxon-climate-change_us_58c7f3d1e4b081a56def6563,"The company claims the address was used for ""secure and expedited communications.""",2017-03-14
3341,CRIME,Former Chemist May Have Tainted Thousands Of Criminal Cases,,https://www.huffingtonpost.com/entry/sonja-farak_n_7720934.html,,2015-07-03
3342,POLITICS,Jeb Bush Tax Returns Reveal Almost Nothing About His Wall Street Connections,"Zach Carter, Paul Blumenthal, and Igor Bobic",https://www.huffingtonpost.com/entry/jeb-bush-tax-returns-wall-street_n_7700964.html,,2015-07-01
3343,POLITICS,REPORT: Obama To Use Clemency Power To Free Nonviolent Drug Offenders,,https://www.huffingtonpost.com/entry/obama-plans-broader-use-o_n_7725498.html,,2015-07-04
3344,POLITICS,Elizabeth Warren’s Wall Street Watchdog Ruled Unconstitutional In Current Form,Daniel Marans,https://www.huffingtonpost.com/entry/cfpb-unconstitutional_us_57a3bc70e4b021fd98781ff7,The appeals court decision won't necessarily doom the Consumer Financial Protection Bureau.,2016-10-11
3345,POLITICS,Obama's Former Supreme Court Lawyer Says He 'Hated Losing' Big Immigration Case,Cristian Farias,https://www.huffingtonpost.com/entry/donald-verrilli-solicitor-general_us_57ec19b9e4b024a52d2c6792,"Donald Verrilli, who helped save Obamacare twice, is returning to private practice.",2016-09-29
3346,CRIME,Chelsea Johnson Murder: George Donald Davis Named 'Person Of Interest' In Ohio Teen's Death,,https://www.huffingtonpost.com/entry/chelsea-johnson-murder_us_5ba2c6fbe4b0c2784da62db0,"""Davis is an acquaintance of the family. He used to live in Fairfield. How they became acquainted is still part of the investigation",2012-06-09
3347,POLITICS,Loretta Lynch: Spike In Anti-Muslim Hate Crimes Is A 'Stain On Our Nation's Very Soul',Hayley Miller,https://www.huffingtonpost.com/entry/loretta-lynch-hate-crimes_us_584ecbcce4b04c8e2bb0ac1a,"""When one of us is threatened, we all have to speak out.”",2016-12-12
3348,POLITICS,"Bill O'Reilly Was Just A Symptom, Fox News Is The Disease","Francis Maxwell, ContributorHost/Writer/Actor",https://www.huffingtonpost.com/entry/bill-oreilly-was-just-a-sympton-fox-news-is-the-disease_us_58f9309de4b0de26cfeae232,Racism and sexism are everyday practice at Fox.,2017-04-22
3349,POLITICS,Here's A Look At The 2016 Race By The Numbers,"Michael Beckel, Dave Levinthal & Carrie Levine, Center for Public Integrity",https://www.huffingtonpost.com/entry/2016-election-spending_us_5718c930e4b024dae4f116c2,"Big money, and plenty of oddities, mark the latest round of campaign disclosures.",2016-04-21
3350,POLITICS,"Hillary Clinton's Lead Pipe Answer 'Made Me Vomit In My Mouth,' Flint Questioner Says",Arthur Delaney,https://www.huffingtonpost.com/entry/clinton-flint-water_us_56ddb0e4e4b0ffe6f8ea02a7,Neither Clinton nor Bernie Sanders was aggressive on lead pipe removal.,2016-03-07
3351,CRIME,Cop Shoots Other Cop During Bust,,https://www.huffingtonpost.com/entry/albuquerque-cop-shot-by-cop_n_6447384.html,,2015-01-10
3352,POLITICS,Senate Intel Leaders Split On Need For Independent Trump-Russia Probe,Jennifer Bendery,https://www.huffingtonpost.com/entry/richard-burr-mark-warner-trump-russia_us_59132a10e4b05e1ca203badd,,2017-05-10
3353,POLITICS,Obama Is About To Visit A Prison. We Asked 2016 Contenders If They Have Ever Been.,Dana Liebelson,https://www.huffingtonpost.com/entry/obama-is-about-to-visit-a-prison-we-asked-2016-contenders-if-they-have-ever-been_us_55a6a9d4e4b04740a3deb9bc,"WASHINGTON -- When President Barack Obama visits a federal prison on Thursday, it will mark the first time during his presidency",2015-07-15
3354,CRIME,Jury Finds Cinemark Theater Chain Not Liable In 2012 Colorado Movie Massacre,"Keith Coffman, Reuters",https://www.huffingtonpost.com/entry/colorado-movie-shooting-jury-cinemark-not-liable_us_573dfed4e4b0aee7b8e95363,"Jurors ruled in favor of Cinemark USA Inc in the lawsuit filed by more than two dozen surviving victims and relatives of the dead, court spokesman Rob McCallum said on Twitter.",2016-05-19
3355,POLITICS,Congratulations To Palestinian Authority President Jared Kushner,Jeffrey Young and Arthur Delaney,https://www.huffingtonpost.com/entry/congratulations-to-palestinian-authority-president-jared-kushner_us_594ad8ede4b01cdedf00113b,Always send a boy to do a qualified adult's job.,2017-06-21
3356,POLITICS,Peter Thiel's Support Of Trump Presidency Is Privately Faltering: Report,Paige Lavender,https://www.huffingtonpost.com/entry/peter-thiel-donald-trump_us_5988b414e4b0d79373890160,"""There is a 50% chance this whole thing ends in disaster,"" Thiel reportedly said.",2017-08-07
3357,CRIME,Cops Hunt For Suspects In Carjacking That Killed Kids,Simon McCormack,https://www.huffingtonpost.com/entry/carjacking-three-kids-killed_n_5623015.html,,2014-07-26
3358,POLITICS,How Twitter Bots And Sockpuppets Used Trump's Tweets To Mess With Virginia's Governor's Race,Luke O'Brien,https://www.huffingtonpost.com/entry/twitter-bots-sockpuppets-trump-virginia_us_5a01039de4b0368a4e869817,Race-baiting gets amplified by a dedicated cyber troll network.,2017-11-07
