S.no,category,headline,authors,link,short_description,date,text,processed_text,text_length
1912,POLITICS,"Trump Reaffirms His Intention To Order War Crimes, Then Backs Down [UPDATE]",Michael McAuliff,https://www.huffingtonpost.com/entry/trump-reaffirmed-his-intention-to-order-war-crimes_us_56d98bc7e4b0000de404296c,The GOP front-runner said Friday that he'd stick to legal means of fighting terrorism.,2016-03-04,"Trump Reaffirms His Intention To Order War Crimes, Then Backs Down [UPDATE] The GOP front-runner said Friday that he'd stick to legal means of fighting terrorism.",trump reaffirms intention order war crime back update gop said friday stick legal mean fighting terrorism,105
3111,CRIME,"8 Family Members Dead In Mass Shooting In Ohio, Authorities Say",Melissa Jeltsen and Michael McLaughlin,https://www.huffingtonpost.com/entry/ohio-multiple-dead_us_571a4e74e4b0d0042da90734,"Other relatives have been warned to take ""particular caution.""",2016-04-22,"8 Family Members Dead In Mass Shooting In Ohio, Authorities Say Other relatives have been warned to take ""particular caution.""",family member dead mass shooting ohio authority say relative warned take particular caution,91
3571,POLITICS,Minneapolis Police Will Be Required To Turn On Body Cameras During Any Public Encounters,Hayley Miller,https://www.huffingtonpost.com/entry/minneapolis-police-body-cameras-justine-damond_us_5978dd18e4b0da64e875db00,The new policy comes after an officer fatally shot Justine Damond while responding to a 911 call she made.,2017-07-26,Minneapolis Police Will Be Required To Turn On Body Cameras During Any Public Encounters The new policy comes after an officer fatally shot Justine Damond while responding to a 911 call she made.,minneapolis police required turn body camera public encounter new policy come officer fatally shot justine damond responding call made,134
7350,POLITICS,Woman Who Suffered 'Inhumane' Death In Jail Was Only There Because She Was Poor,Nick Wing,https://www.huffingtonpost.com/entry/jennifer-meyers-jail-death_us_583474dce4b030997bc162ba,Jennifer Meyers was one of the many victims of a system that incarcerates people because they can't pay fees or fines.,2016-11-22,Woman Who Suffered 'Inhumane' Death In Jail Was Only There Because She Was Poor Jennifer Meyers was one of the many victims of a system that incarcerates people because they can't pay fees or fines.,woman suffered death jail poor jennifer meyers one many victim system incarcerates people ca pay fee fine,105
1054,CRIME,Body Found May Be Of Missing 3-Year-Old Left Outside By Dad: Police,Nina Golgowski,https://www.huffingtonpost.com/entry/body-found-in-search-for-texas-tot_us_59eddc0ee4b0a484d0645ef9,Sherin Mathews's adoptive father told police the girl was being punished for not drinking her milk.,2017-10-23,Body Found May Be Of Missing 3-Year-Old Left Outside By Dad: Police Sherin Mathews's adoptive father told police the girl was being punished for not drinking her milk.,body found may missing left outside dad police sherin mathews adoptive father told police girl punished drinking milk,117
4465,CRIME,Dad Admits Killing Family On Facebook: 'Now My Family Is Pain Free',Andres Jauregui,https://www.huffingtonpost.com/entry/randy-janzen-kills-family-facebook-confession_n_7248538.html,,2015-05-09,Dad Admits Killing Family On Facebook: 'Now My Family Is Pain Free' ,dad admits killing family facebook family pain free,51
5814,POLITICS,Four Consequences Of A $15 Minimum Wage,,https://www.huffingtonpost.comhttp://www.latimes.com/business/la-fi-minimum-wage-impacts-20160421-snap-htmlstory.html,Exhaustive research over the past few decades suggests raising the minimum wage has little negative impact on overall employment,2016-04-25,Four Consequences Of A $15 Minimum Wage Exhaustive research over the past few decades suggests raising the minimum wage has little negative impact on overall employment,four consequence minimum wage exhaustive research past decade suggests raising minimum wage little negative impact overall employment,133
7335,POLITICS,"Chaffetz, Cummings Seek Answers From Trump On His Business' Profits From Foreign Governments",Paul Blumenthal,https://www.huffingtonpost.com/entry/trump-business-foreign-profits_us_58fa5475e4b00fa7de141ffa,The oversight committee wants to know more about the president's emoluments.,2017-04-21,"Chaffetz, Cummings Seek Answers From Trump On His Business' Profits From Foreign Governments The oversight committee wants to know more about the president's emoluments.",chaffetz cummings seek answer trump business profit foreign government oversight committee want know president emolument,120
2830,POLITICS,ESPN Reporters Say They're Not Going To 'Stick To Sports',Travis Waldron,https://www.huffingtonpost.com/entry/espn-not-sticking-to-sports_us_5914d86be4b0031e737c6848,ESPN is emphasizing its commitment to journalism by rebooting two popular shows. Covering political and social issues will be a part of those efforts.,2017-05-12,ESPN Reporters Say They're Not Going To 'Stick To Sports' ESPN is emphasizing its commitment to journalism by rebooting two popular shows. Covering political and social issues will be a part of those efforts.,espn reporter say going sport espn emphasizing commitment journalism rebooting two popular show covering political social issue part effort,139
1525,POLITICS,HuffPost Rise: What You Need To Know On March 14,,https://www.huffingtonpost.com/entry/huffpost-rise-morning-newsbrief-mar-11_us_56e64eabe4b065e2e3d65a85,"Welcome to the HuffPost Rise Morning Newsbrief, a short wrap-up of the news to help you start your day.",2016-03-14,"HuffPost Rise: What You Need To Know On March 14 Welcome to the HuffPost Rise Morning Newsbrief, a short wrap-up of the news to help you start your day.",huffpost rise need know march welcome huffpost rise morning newsbrief short news help start day,95
4541,POLITICS,Atheists And Satanists Are All Up In Your Nativity Scenes This Year,Amanda Terkel,https://www.huffingtonpost.com/entry/nativity-scenes-atheists_us_56730658e4b0dfd4bcc0fbcc,'Tis the season to be trolling.,2015-12-18,Atheists And Satanists Are All Up In Your Nativity Scenes This Year 'Tis the season to be trolling.,atheist satanist nativity scene year season trolling,52
6171,CRIME,Moving? Beware the Criminal Element,"Diane Dimond, Contributor
Television journalist, author, syndicated columnist",https://www.huffingtonpost.com/entry/moving-beware-the-crimina_us_5ba2bfcee4b0c2784da58e2b,"Apparently, Spring is a traditional time when many decide to pick up and start fresh somewhere new.In fact, the month of May is National Moving Month and crooks have already marked it on their calendar.",2013-05-11,"Moving? Beware the Criminal Element Apparently, Spring is a traditional time when many decide to pick up and start fresh somewhere new.In fact, the month of May is National Moving Month and crooks have already marked it on their calendar.",moving beware criminal element apparently spring traditional time many decide pick start fresh somewhere fact month may national moving month crook already marked calendar,171
4761,CRIME,Teen Brothers Who Murdered Family Had USB Drive With Plans Of Attack: Cops,,https://www.huffingtonpost.com/entry/teen-who-murdered-family-had-usb-drive-with-plans-of-attack-cops-say_us_55c4ad08e4b0923c12bc7461,"""I could hear someone trying to be quiet and crying.""",2015-08-07,"Teen Brothers Who Murdered Family Had USB Drive With Plans Of Attack: Cops ""I could hear someone trying to be quiet and crying.""",teen brother murdered family usb drive plan attack cop could hear someone trying quiet cry,90
7240,POLITICS,Homeless Will Now Be Asked: Are You Fleeing Domestic Violence?,"Stateline, Editorial Partner",https://www.huffingtonpost.com/entry/homeless-will-now-be-asked-are-you-fleeing-domestic_us_5a6215d2e4b02f8c234197ec,"For years, advocates have called victims of domestic violence part of the country’s “hidden homeless.” But now, for the first",2018-01-22,"Homeless Will Now Be Asked: Are You Fleeing Domestic Violence? For years, advocates have called victims of domestic violence part of the country’s “hidden homeless.” But now, for the first",homeless asked fleeing domestic violence year advocate called victim domestic violence part country hidden first,112
3867,POLITICS,Steve King Toasts Border Patrol After Deportation Of Dreamer,Elise Foley,https://www.huffingtonpost.com/entry/steve-king-dreamer-deported_us_58f69d25e4b029063d3500a8,"The Republican congressman once infamously said a large proportion of young undocumented immigrants were drug mules with ""calves the size of cantaloupes.""",2017-04-18,"Steve King Toasts Border Patrol After Deportation Of Dreamer The Republican congressman once infamously said a large proportion of young undocumented immigrants were drug mules with ""calves the size of cantaloupes.""",steve king toast border patrol deportation dreamer republican congressman infamously said large proportion young undocumented immigrant drug mule calf size cantaloupe,166
7563,POLITICS,"Donald Trump Reportedly Says He's With Hillary Clinton, Bernie Sanders On Drug Pricing",Jonathan Cohn,https://www.huffingtonpost.com/entry/trump-drug-prices-hillary-bernie_us_56a7ac37e4b0172c65943f0b,And to think drugmakers were worried about the Democrats.,2016-01-26,"Donald Trump Reportedly Says He's With Hillary Clinton, Bernie Sanders On Drug Pricing And to think drugmakers were worried about the Democrats.",donald trump reportedly say hillary clinton bernie sander drug pricing think drugmakers worried democrat,104
6131,POLITICS,Brexit: A Cousin Of Trumpism? A Distant Cousin Of Fascism?,"Lawrence Rosenthal, ContributorCo-Editor of ""Steep: The Precipitous Rise of the Tea Party"", p...",https://www.huffingtonpost.com/entry/brexit-a-cousin-of-trumpi_b_10674692.html,"Structurally, something similar seems to be happening in reverse. That is, instead of a situation in which structural disparity results from some sectors failing to develop while other sectors raced ahead, we now are fostering structural disparities owing to sectors that are falling backwards, out of the modern (or post-modern) world.",2016-06-25,"Brexit: A Cousin Of Trumpism? A Distant Cousin Of Fascism? Structurally, something similar seems to be happening in reverse. That is, instead of a situation in which structural disparity results from some sectors failing to develop while other sectors raced ahead, we now are fostering structural disparities owing to sectors that are falling backwards, out of the modern (or post-modern) world.",brexit cousin trumpism distant cousin fascism structurally something similar seems happening reverse instead situation structural disparity result sector failing develop sector raced ahead fostering structural disparity owing sector falling backwards modern world,263
4624,POLITICS,GOP Field Gets Down In The Mud In South Carolina,,https://www.huffingtonpost.comhttp://www.politico.com/story/2016/02/gop-south-carolina-primary-219492,"South Carolina is known for its down-and-dirty politics, and this year’s GOP field has been all too happy to throw some low",2016-02-19,"GOP Field Gets Down In The Mud In South Carolina South Carolina is known for its down-and-dirty politics, and this year’s GOP field has been all too happy to throw some low",gop field get mud south carolina south carolina known politics year gop field happy throw low,93
7145,POLITICS,Immigrants Urge Colorado Latinos To Vote: 'My Family Depends On How Well We Do',Elise Foley,https://www.huffingtonpost.com/entry/colorado-latino-vote_n_6084676.html,,2014-11-01,Immigrants Urge Colorado Latinos To Vote: 'My Family Depends On How Well We Do' ,immigrant urge colorado latino vote family depends well,55
4325,POLITICS,Department Of Justice To Sue California Over ‘Sanctuary’ Policies,Elise Foley,https://www.huffingtonpost.com/entry/doj-sanctuary-cities-suit_us_5a9ec5a4e4b0e9381c12c0e8,And it's going to use similar arguments to the ones the Obama administration used against an anti-unauthorized immigration law.,2018-03-07,Department Of Justice To Sue California Over ‘Sanctuary’ Policies And it's going to use similar arguments to the ones the Obama administration used against an anti-unauthorized immigration law.,department justice sue california sanctuary policy going use similar argument one obama administration used immigration law,123
4450,CRIME,Gunman Kills 5 In Georgia,Peter Andrew Hart,https://www.huffingtonpost.com/entry/georgia-shootings_us_571ae6bae4b0d912d5fecb4b,The suspect was found dead of a self-inflicted gunshot wound.,2016-04-23,Gunman Kills 5 In Georgia The suspect was found dead of a self-inflicted gunshot wound.,gunman kill georgia suspect found dead gunshot wound,52
1053,POLITICS,"Oslo: 1993-2015, RIP","James Zogby, ContributorPresident, Arab American Institute; author, 'Arab Voices'",https://www.huffingtonpost.com/entry/oslo-1993-2015-rip_b_8236412.html,The Oslo Accords and its attendant peace process came into the world with a bang 22 years ago. This past week they exited with a sad whimper.,2015-10-03,"Oslo: 1993-2015, RIP The Oslo Accords and its attendant peace process came into the world with a bang 22 years ago. This past week they exited with a sad whimper.",oslo rip oslo accord attendant peace process came world bang year ago past week exited sad whimper,98
1015,CRIME,LAPD Finds Huge Arsenal In Man's Home While Investigating His Death,,https://www.huffingtonpost.com/entry/california-man-gun-arsenal_us_55ae2224e4b08f57d5d267f2,"""Our truck couldn't carry it all. We had to go back and make another trip.""",2015-07-21,"LAPD Finds Huge Arsenal In Man's Home While Investigating His Death ""Our truck couldn't carry it all. We had to go back and make another trip.""",lapd find huge arsenal man home investigating death truck could carry go back make another trip,95
4615,CRIME,Police Save Puppy From Overdosing On Heroin,David Moye,https://www.huffingtonpost.com/entry/dog-overdoses-on-heroin_us_58acd985e4b0d0a6ef462ba4,"Lucky was ""pretty close to checking out.""",2017-02-22,"Police Save Puppy From Overdosing On Heroin Lucky was ""pretty close to checking out.""",police save puppy overdosing heroin lucky pretty close checking,63
6369,POLITICS,House To Vote This Week On First Package Of Harvey Aid,Matt Fuller,https://www.huffingtonpost.com/entry/house-harvey-aid-vote_us_59ad8671e4b0b5e531001f22,The move could imperil action on funding the government and raising the debt ceiling.,2017-09-04,House To Vote This Week On First Package Of Harvey Aid The move could imperil action on funding the government and raising the debt ceiling.,house vote week first package harvey aid move could imperil action funding government raising debt ceiling,106
5503,POLITICS,Donald Trump’s Anti-P.C. Crusade Creates A Feedback Loop of Resentment Among His Supporters,,https://www.huffingtonpost.comhttp://nymag.com/daily/intelligencer/2016/06/trumps-anti-pc-feedback-loop-of-white-outrage.html,Much of the awe and fear inspired by Donald Trump's presidential campaign arises very obviously from his successful defiance,2016-06-02,Donald Trump’s Anti-P.C. Crusade Creates A Feedback Loop of Resentment Among His Supporters Much of the awe and fear inspired by Donald Trump's presidential campaign arises very obviously from his successful defiance,donald trump crusade creates feedback loop resentment among supporter much awe fear inspired donald trump presidential campaign arises obviously successful defiance,164
4006,POLITICS,Donald Trump Can Expect A Lot Of American Taxpayers Outside The White House April 15,Chris D'Angelo,https://www.huffingtonpost.com/entry/donald-trump-tax-march_us_58a4d8eee4b037d17d24a63e,"Their message: Let's see those tax returns, Mr. President.",2017-02-16,"Donald Trump Can Expect A Lot Of American Taxpayers Outside The White House April 15 Their message: Let's see those tax returns, Mr. President.",donald trump expect lot american taxpayer outside white house april message let see tax return president,104
1354,POLITICS,Cliven Bundy Challenges Eric Holder In Video Endorsing Black Congressional Candidate,Igor Bobic,https://www.huffingtonpost.com/entry/cliven-bundy-kamau-bakari_n_6007872.html,,2014-10-18,Cliven Bundy Challenges Eric Holder In Video Endorsing Black Congressional Candidate ,cliven bundy challenge eric holder video endorsing black congressional candidate,80
4511,CRIME,'Playing Possum' Helped Victim Survive On-Air TV Shooting,"DAVID DISHNEAU and JOHN RABY, Associated Press",https://www.huffingtonpost.com/entry/playing-possum-helped-victim-survive-on-air-tv-shooting_us_55e0f364e4b0aec9f35376b2,"Writings and evidence seized from Flanagan's apartment showed the man ""closely identified"" with people who have committed mass murders.",2015-08-28,"'Playing Possum' Helped Victim Survive On-Air TV Shooting Writings and evidence seized from Flanagan's apartment showed the man ""closely identified"" with people who have committed mass murders.",possum helped victim survive tv shooting writing evidence seized flanagan apartment showed man closely identified people committed mass murder,142
1633,POLITICS,"Clinton And Sanders Agree To New Debates, But Spar Over Time And Place",Daniel Marans and Sam Stein,https://www.huffingtonpost.com/entry/clinton-sanders-democratic-debates_us_56ad2bf1e4b00b033aaf5dc3,"""Why won't they debate in Brooklyn?"" the Sanders campaign asks.",2016-01-30,"Clinton And Sanders Agree To New Debates, But Spar Over Time And Place ""Why won't they debate in Brooklyn?"" the Sanders campaign asks.",clinton sander agree new debate spar time place wo debate brooklyn sander campaign asks,87
2141,POLITICS,This Letter From Louisiana Prosecutors Perfectly Explains Why Criminal Justice Reform Is So Hard,Julia Craven,https://www.huffingtonpost.com/entry/criminal-justice-reform_us_57d87019e4b0aa4b722d3af0,The state wants to save money by locking up fewer nonviolent offenders. But state prosecutors don't agree.,2016-09-14,This Letter From Louisiana Prosecutors Perfectly Explains Why Criminal Justice Reform Is So Hard The state wants to save money by locking up fewer nonviolent offenders. But state prosecutors don't agree.,letter louisiana prosecutor perfectly explains criminal justice reform hard state want save money locking fewer nonviolent offender state prosecutor agree,154
7068,POLITICS,The Democratic Debate Was A Weird Role Reversal,Zach Carter,https://www.huffingtonpost.com/entry/democratic-debate-role-reversal_us_57106b30e4b0018f9cb9a6c4,Bernie Sanders and Hillary Clinton flipped the script in Brooklyn.,2016-04-15,The Democratic Debate Was A Weird Role Reversal Bernie Sanders and Hillary Clinton flipped the script in Brooklyn.,democratic debate weird role reversal bernie sander hillary clinton flipped script brooklyn,91
6852,POLITICS,'We Should Have Pushed Harder': Obama's Gitmo Czars Reflect On His Failure To Close The Prison,Miranda Green,https://www.huffingtonpost.com/entry/obama-guantanamo-closing_us_588141d1e4b0e3a735682124,"They transferred 201 detainees, but the president didn't keep his promise to shut down Guantanamo.",2017-01-19,"'We Should Have Pushed Harder': Obama's Gitmo Czars Reflect On His Failure To Close The Prison They transferred 201 detainees, but the president didn't keep his promise to shut down Guantanamo.",pushed harder obama gitmo czar reflect failure close prison transferred detainee president keep promise shut guantanamo,119
428,POLITICS,Donald Trump Will Not Stop Lying About The Iraq War,Marina Fang,https://www.huffingtonpost.com/entry/donald-trump-iraq-war-lie_us_57d1b17de4b00642712c5c29,The GOP nominee interrupted an education policy speech to perpetuate the myth that he opposed the 2003 U.S. invasion of Iraq from the start.,2016-09-08,Donald Trump Will Not Stop Lying About The Iraq War The GOP nominee interrupted an education policy speech to perpetuate the myth that he opposed the 2003 U.S. invasion of Iraq from the start.,donald trump stop lying iraq war gop nominee interrupted education policy speech perpetuate myth opposed invasion iraq start,124
6310,CRIME,"After Years Of Mystery, Cops Finally Think They Solved Family's Murder",Simon McCormack,https://www.huffingtonpost.com/entry/mcstay-family-killed-home_n_6125826.html,,2014-11-08,"After Years Of Mystery, Cops Finally Think They Solved Family's Murder ",year mystery cop finally think solved family murder,51
3108,POLITICS,Friday Talking Points -- Eric Holder's Record,"Chris Weigant, ContributorPolitical writer and blogger at ChrisWeigant.com",https://www.huffingtonpost.com/entry/friday-talking-points_b_5891520.html,"The news that Attorney General Eric Holder would be stepping down sent a shockwave through Washington. On the whole, was his term worth praising or condemning? We have to say that ""both"" is the only real answer to that question.",2014-09-27,"Friday Talking Points -- Eric Holder's Record The news that Attorney General Eric Holder would be stepping down sent a shockwave through Washington. On the whole, was his term worth praising or condemning? We have to say that ""both"" is the only real answer to that question.",friday talking point eric holder record news attorney general eric holder would stepping sent shockwave washington whole term worth praising condemning say real answer question,176
1903,CRIME,Demographics Of Murder Suspect's Police Department Tell Familiar Story,Simon McCormack,https://www.huffingtonpost.com/entry/north-charleston-police-demographics_n_7025196.html,,2015-04-08,Demographics Of Murder Suspect's Police Department Tell Familiar Story ,demographic murder suspect police department tell familiar story,64
7570,CRIME,"U.S. Department Of Education Increases Fines For Violating Jeanne Clery Act Campus Safety Law To $54,789","S. Daniel Carter, ContributorCampus Security Consultant",https://www.huffingtonpost.com/entry/us-department-of-education-increases-fines-for-violating_us_5940389fe4b04c03fa26160c,The U.S. Department of Education increased fines for violations of the Jeanne Clery Disclosure of Campus Security Policy,2017-06-13,"U.S. Department Of Education Increases Fines For Violating Jeanne Clery Act Campus Safety Law To $54,789 The U.S. Department of Education increased fines for violations of the Jeanne Clery Disclosure of Campus Security Policy",department education increase fine violating jeanne clery act campus safety law department education increased fine violation jeanne clery disclosure campus security policy,172
6535,POLITICS,A Starting Point For Understanding More About Our Gun Violence Epidemic,"Mike Weisser, ContributorMike the Gun Guy",https://www.huffingtonpost.com/entry/a-starting-point-for-understanding-more-about-our-gun-violence-epidemic_us_5a1de772e4b0d724fed462e6,Our friends at The Trace have released a treasure-trove of data which should be used to set a new standard and direction,2017-11-28,A Starting Point For Understanding More About Our Gun Violence Epidemic Our friends at The Trace have released a treasure-trove of data which should be used to set a new standard and direction,starting point understanding gun violence epidemic friend trace released data used set new standard direction,109
6386,POLITICS,HuffPost Rise: What You Need To Know On January 13,,https://www.huffingtonpost.com/entry/huffpost-rise-morning-newsbrief-jan-13_us_5695febde4b09dbb4bad47a1,"Welcome to the HuffPost Rise Morning Newsbrief, a short wrap-up of the news to help you start your day.",2016-01-13,"HuffPost Rise: What You Need To Know On January 13 Welcome to the HuffPost Rise Morning Newsbrief, a short wrap-up of the news to help you start your day.",huffpost rise need know january welcome huffpost rise morning newsbrief short news help start day,97
5070,POLITICS,Head Of Trump Voter Fraud Probe Wanted To Change Law To Make Registering More Difficult,Sam Levine,https://www.huffingtonpost.com/entry/kris-kobach-nvra_us_59698037e4b017418627ac98,"Kris Kobach sought to make it acceptable to impose a proof-of-citizenship requirement, according to newly public emails.",2017-07-15,"Head Of Trump Voter Fraud Probe Wanted To Change Law To Make Registering More Difficult Kris Kobach sought to make it acceptable to impose a proof-of-citizenship requirement, according to newly public emails.",head trump voter fraud probe wanted change law make registering difficult kris kobach sought make acceptable impose requirement according newly public email,156
4313,POLITICS,"Trump's Week Of Errors, Exaggerations And Flat-Out Falsehoods",,https://www.huffingtonpost.comhttp://www.politico.com/magazine/story/2016/03/trump-fact-check-errors-exaggerations-falsehoods-213730#ixzz42sdKhqaV,"Donald Trump says he is a truthful man. “Maybe truthful to a fault,” he boasted last week at a North Carolina rally where",2016-03-14,"Trump's Week Of Errors, Exaggerations And Flat-Out Falsehoods Donald Trump says he is a truthful man. “Maybe truthful to a fault,” he boasted last week at a North Carolina rally where",trump week error exaggeration falsehood donald trump say truthful man maybe truthful fault boasted last week north carolina rally,129
5309,CRIME,Dallas County To Start Confiscating Guns From Domestic Abusers,Andy Campbell,https://www.huffingtonpost.com/entry/dallas-county-guns-domestic-abuse_n_7111818.html,,2015-04-22,Dallas County To Start Confiscating Guns From Domestic Abusers ,dallas county start confiscating gun domestic abuser,52
4547,CRIME,Kosciuszko Park Gang Rape: 2 Women Allegedly Assaulted By Nearly A Dozen Juveniles,,https://www.huffingtonpost.com/entry/kosciuszko-park-gang-rape_us_5ba2c739e4b0c2784da6367b,"""Take accountability, step up, turn yourselves in so that way we could move forward,"" Cpl. Jamaine Crawford, of Wilmington",2013-09-01,"Kosciuszko Park Gang Rape: 2 Women Allegedly Assaulted By Nearly A Dozen Juveniles ""Take accountability, step up, turn yourselves in so that way we could move forward,"" Cpl. Jamaine Crawford, of Wilmington",kosciuszko park gang rape woman allegedly assaulted nearly dozen juvenile take accountability step turn way could move forward cpl jamaine crawford wilmington,158
2804,CRIME,"James DiMaggio, Kidnapping Suspect, Killed On Anniversary Of Father's Suicide",Andy Campbell,https://www.huffingtonpost.com/entry/james-dimaggio-killed-anniversary-fathers-suicide_us_5ba2bf7ee4b0c2784da5850b,The case is still under investigation. James DiMaggio's friend was worried the kidnapping suspect would kill himself on Saturday,2013-08-11,"James DiMaggio, Kidnapping Suspect, Killed On Anniversary Of Father's Suicide The case is still under investigation. James DiMaggio's friend was worried the kidnapping suspect would kill himself on Saturday",james dimaggio kidnapping suspect killed anniversary father suicide case still investigation james dimaggio friend worried kidnapping suspect would kill saturday,161
2053,POLITICS,"Bill O'Reilly Calls Vladimir Putin A 'Killer', Donald Trump Says Americans Are Just As Bad",Mary Papenfuss,https://www.huffingtonpost.com/entry/oreilly-putin-killer-trump_us_58966d7ce4b09bd304bbb39e,“What do you think? Our country’s so innocent?”,2017-02-05,"Bill O'Reilly Calls Vladimir Putin A 'Killer', Donald Trump Says Americans Are Just As Bad “What do you think? Our country’s so innocent?”",bill call vladimir putin donald trump say american bad think country innocent,77
1221,POLITICS,Mr. Netanyahu Goes To Moscow -- High Stakes Are On The Line,"Josef Olmert, ContributorProfessor Middle Eastern Studies",https://www.huffingtonpost.com/entry/mr-netanyahu-goes-to-moscow-high-stakes-are-on-the_us_58bc3642e4b0fa65b844b48f,"In the old Soviet Union, the very mention of the name Israel was tantamount to blasphemy of the highest order. Not any more",2017-03-05,"Mr. Netanyahu Goes To Moscow -- High Stakes Are On The Line In the old Soviet Union, the very mention of the name Israel was tantamount to blasphemy of the highest order. Not any more",netanyahu go moscow high stake line old soviet union mention name israel tantamount blasphemy highest order,107
1741,POLITICS,A Bold Step To Control Prescription Drug Prices,"Stateline, ContributorStateline provides daily reporting and analysis on trends in s...",https://www.huffingtonpost.com/entry/a-bold-step-to-control-prescription-drug-prices_us_59f1e5d0e4b09812b938c71e,Massachusetts Medicaid wants to exclude some prescription drugs from its coverage to gain negotiating leverage with drugmakers,2017-10-26,A Bold Step To Control Prescription Drug Prices Massachusetts Medicaid wants to exclude some prescription drugs from its coverage to gain negotiating leverage with drugmakers,bold step control prescription drug price massachusetts medicaid want exclude prescription drug coverage gain negotiating leverage drugmakers,141
7900,POLITICS,Lawmakers Who Voted To Make Health Care Worse For Moms Hope You Have A Happy Mother’s Day,Kim Bellware,https://www.huffingtonpost.com/entry/congress-tweets-mothers-day_us_5918d4bce4b0031e737e8800,Some Twitter users found the platitudes more than a little bit ironic.,2017-05-15,Lawmakers Who Voted To Make Health Care Worse For Moms Hope You Have A Happy Mother’s Day Some Twitter users found the platitudes more than a little bit ironic.,lawmaker voted make health care worse mom hope happy mother day twitter user found platitude little bit ironic,110
1606,POLITICS,"Elizabeth Warren, Lisa Murkowski Push Trump To Declare Opioid Crisis A National Emergency",Paige Lavender,https://www.huffingtonpost.com/entry/warren-murkowski-opioids_us_59df88b9e4b00abf3646f4dc,"The president promised two months ago that his administration would ""spend a lot of time, a lot of effort and a lot of money on the opioid crisis.”",2017-10-12,"Elizabeth Warren, Lisa Murkowski Push Trump To Declare Opioid Crisis A National Emergency The president promised two months ago that his administration would ""spend a lot of time, a lot of effort and a lot of money on the opioid crisis.”",elizabeth warren lisa murkowski push trump declare opioid crisis national emergency president promised two month ago administration would spend lot time lot effort lot money opioid crisis,187
1093,POLITICS,The Democratic Party's Texas Dilemma,"Chinedu Achebe, ContributorAuthor, Blunted on Reality",https://www.huffingtonpost.com/entry/the-democratic-partys-texas-dilemma_us_573fbd40e4b05f38f07fbf5d,"""We need to look at the root cause of the problem.""",2016-05-21,"The Democratic Party's Texas Dilemma ""We need to look at the root cause of the problem.""",democratic party texas dilemma need look root cause problem,59
3039,POLITICS,FBI Will Help Police Unlock iPhones,Peter Andrew Hart,https://www.huffingtonpost.com/entry/fbi-police-iphone_us_57005265e4b083f5c607de04,The government recently abandoned its legal case to force Apple to help it unlock iPhones.,2016-04-02,FBI Will Help Police Unlock iPhones The government recently abandoned its legal case to force Apple to help it unlock iPhones.,fbi help police unlock iphones government recently abandoned legal case force apple help unlock iphones,103
2503,POLITICS,Barack Obama Warns That A Donald Trump Presidency Would Be 'Damaging For The World',Carla Herreria,https://www.huffingtonpost.com/entry/obama-bill-maher-real-time-interview_us_581d1591e4b0e80b02ca30d1,The president told Bill Maher the choice this election should be clear: Hillary Clinton for president.,2016-11-05,Barack Obama Warns That A Donald Trump Presidency Would Be 'Damaging For The World' The president told Bill Maher the choice this election should be clear: Hillary Clinton for president.,barack obama warns donald trump presidency would world president told bill maher choice election clear hillary clinton president,128
1827,POLITICS,Death to Shoppers? Al-Shabaab and the Fracturing of International Jihadism,"Joseph V. Micallef, ContributorBest Selling Military History and World Affairs Author and Key...",https://www.huffingtonpost.com/entry/death-to-shoppers-al-shab_b_6778406.html,"While governments speak of ""defeating"" jihadist terrorism, the reality is that this phenomenon will continue to metastasize into other forms, some more virulent other less. In the end, the most enduring legacy of jihadist violence will not be terrorism or even murder, but chaos.",2015-03-01,"Death to Shoppers? Al-Shabaab and the Fracturing of International Jihadism While governments speak of ""defeating"" jihadist terrorism, the reality is that this phenomenon will continue to metastasize into other forms, some more virulent other less. In the end, the most enduring legacy of jihadist violence will not be terrorism or even murder, but chaos.",death shopper fracturing international jihadism government speak defeating jihadist terrorism reality phenomenon continue metastasize form virulent le end enduring legacy jihadist violence terrorism even murder chaos,216
3418,POLITICS,Hillary Clinton Announces Vague Plan To 'Donate' Harvey Weinstein Campaign Money,Hayley Miller,https://www.huffingtonpost.com/entry/hillary-clinton-harvey-weinstein-donations_us_59deae70e4b0eb18af06157d,"""I give 10 percent of my income to charity every year,"" the 2016 presidential candidate said. ""This will be part of that.""",2017-10-12,"Hillary Clinton Announces Vague Plan To 'Donate' Harvey Weinstein Campaign Money ""I give 10 percent of my income to charity every year,"" the 2016 presidential candidate said. ""This will be part of that.""",hillary clinton announces vague plan harvey weinstein campaign money give percent income charity every year presidential candidate said part,140
6588,POLITICS,HUFFPOLLSTER: Donald Trump Could Lose The Next GOP Primary,"Natalie Jackson, Ariel Edwards-Levy, and Janie Velencia",https://www.huffingtonpost.com/entry/donald-trump-ted-cruz-wisconsin-primary-polls_us_56fd13f9e4b0daf53aeecaf5,"Meanwhile, the Democrats are in a tight race.",2016-03-31,"HUFFPOLLSTER: Donald Trump Could Lose The Next GOP Primary Meanwhile, the Democrats are in a tight race.",huffpollster donald trump could lose next gop primary meanwhile democrat tight race,83
